"provname","year","biwk","temp_K","temp_C"
"Banteay Meanchey",2002,1,297.532254642857,24.3822546428572
"Banteay Meanchey",2002,2,300.486239307143,27.3362393071429
"Banteay Meanchey",2002,3,300.596138714286,27.4461387142857
"Banteay Meanchey",2002,4,301.808000164286,28.6580001642857
"Banteay Meanchey",2002,5,301.3576475,28.2076475
"Banteay Meanchey",2002,6,303.692327428571,30.5423274285715
"Banteay Meanchey",2002,7,304.104513528571,30.9545135285715
"Banteay Meanchey",2002,8,303.093710178571,29.9437101785715
"Banteay Meanchey",2002,9,302.667412957143,29.5174129571429
"Banteay Meanchey",2002,10,301.295485692857,28.1454856928572
"Banteay Meanchey",2002,11,301.860763828571,28.7107638285714
"Banteay Meanchey",2002,12,302.325726442857,29.1757264428572
"Banteay Meanchey",2002,13,301.416271792857,28.2662717928571
"Banteay Meanchey",2002,14,301.999710814286,28.8497108142857
"Banteay Meanchey",2002,15,301.518023014286,28.3680230142858
"Banteay Meanchey",2002,16,301.056554971429,27.9065549714286
"Banteay Meanchey",2002,17,299.999193064286,26.8491930642857
"Banteay Meanchey",2002,18,300.573036321429,27.4230363214286
"Banteay Meanchey",2002,19,299.998117707143,26.8481177071429
"Banteay Meanchey",2002,20,300.96774955,27.81774955
"Banteay Meanchey",2002,21,300.692139428571,27.5421394285714
"Banteay Meanchey",2002,22,300.2651966,27.1151966
"Banteay Meanchey",2002,23,300.302694378571,27.1526943785715
"Banteay Meanchey",2002,24,300.494894664286,27.3448946642857
"Banteay Meanchey",2002,25,300.829576785714,27.6795767857143
"Banteay Meanchey",2002,26,301.08685544,27.93685544
"Battambang",2002,1,297.569855121429,24.4198551214286
"Battambang",2002,2,300.6974608,27.5474608
"Battambang",2002,3,300.615268742857,27.4652687428572
"Battambang",2002,4,301.655020464286,28.5050204642857
"Battambang",2002,5,300.820992035714,27.6709920357143
"Battambang",2002,6,302.738680157143,29.5886801571429
"Battambang",2002,7,302.983261392857,29.8332613928571
"Battambang",2002,8,301.7961564,28.6461564000001
"Battambang",2002,9,301.99437615,28.84437615
"Battambang",2002,10,301.366482621429,28.2164826214286
"Battambang",2002,11,301.818307528571,28.6683075285715
"Battambang",2002,12,302.050129364286,28.9001293642858
"Battambang",2002,13,301.195243271429,28.0452432714286
"Battambang",2002,14,302.234336614286,29.0843366142857
"Battambang",2002,15,301.621095107143,28.4710951071429
"Battambang",2002,16,301.313487185714,28.1634871857143
"Battambang",2002,17,300.025408035714,26.8754080357143
"Battambang",2002,18,300.703936485714,27.5539364857143
"Battambang",2002,19,299.943385085714,26.7933850857143
"Battambang",2002,20,300.703324385714,27.5533243857143
"Battambang",2002,21,301.113863142857,27.9638631428572
"Battambang",2002,22,300.186795857143,27.0367958571429
"Battambang",2002,23,300.293731478571,27.1437314785715
"Battambang",2002,24,300.564795485714,27.4147954857143
"Battambang",2002,25,301.035832642857,27.8858326428572
"Battambang",2002,26,301.234856566667,28.0848565666667
"Kampong Cham",2002,1,299.0015801,25.8515801
"Kampong Cham",2002,2,302.38819435,29.23819435
"Kampong Cham",2002,3,301.842085714286,28.6920857142857
"Kampong Cham",2002,4,302.924726107143,29.7747261071429
"Kampong Cham",2002,5,303.386767014286,30.2367670142858
"Kampong Cham",2002,6,305.162023078571,32.0120230785715
"Kampong Cham",2002,7,304.786153814286,31.6361538142857
"Kampong Cham",2002,8,304.098101385714,30.9481013857143
"Kampong Cham",2002,9,304.513048785714,31.3630487857143
"Kampong Cham",2002,10,304.398675514286,31.2486755142857
"Kampong Cham",2002,11,303.163597971429,30.0135979714286
"Kampong Cham",2002,12,303.001633135714,29.8516331357143
"Kampong Cham",2002,13,301.567674142857,28.4176741428572
"Kampong Cham",2002,14,302.531154885714,29.3811548857143
"Kampong Cham",2002,15,302.764036471429,29.6140364714286
"Kampong Cham",2002,16,302.136796207143,28.9867962071429
"Kampong Cham",2002,17,300.0031337,26.8531337
"Kampong Cham",2002,18,301.16930055,28.01930055
"Kampong Cham",2002,19,300.266694,27.116694
"Kampong Cham",2002,20,301.085848785714,27.9358487857143
"Kampong Cham",2002,21,301.27709885,28.12709885
"Kampong Cham",2002,22,300.641502942857,27.4915029428572
"Kampong Cham",2002,23,300.603895771429,27.4538957714286
"Kampong Cham",2002,24,300.682038414286,27.5320384142858
"Kampong Cham",2002,25,301.300345142857,28.1503451428572
"Kampong Cham",2002,26,302.254437553333,29.1044375533334
"Kampong Chhnang",2002,1,298.110694928571,24.9606949285715
"Kampong Chhnang",2002,2,301.656374371429,28.5063743714286
"Kampong Chhnang",2002,3,301.2690298,28.1190298
"Kampong Chhnang",2002,4,302.325394285714,29.1753942857143
"Kampong Chhnang",2002,5,302.153543728571,29.0035437285715
"Kampong Chhnang",2002,6,304.466873592857,31.3168735928572
"Kampong Chhnang",2002,7,304.155825664286,31.0058256642857
"Kampong Chhnang",2002,8,302.541449514286,29.3914495142857
"Kampong Chhnang",2002,9,303.114018107143,29.9640181071429
"Kampong Chhnang",2002,10,302.997778264286,29.8477782642858
"Kampong Chhnang",2002,11,302.387663792857,29.2376637928572
"Kampong Chhnang",2002,12,302.709560635714,29.5595606357143
"Kampong Chhnang",2002,13,301.339698307143,28.1896983071429
"Kampong Chhnang",2002,14,302.248942292857,29.0989422928571
"Kampong Chhnang",2002,15,302.241596042857,29.0915960428572
"Kampong Chhnang",2002,16,301.686602928571,28.5366029285715
"Kampong Chhnang",2002,17,300.118927,26.968927
"Kampong Chhnang",2002,18,301.056162992857,27.9061629928572
"Kampong Chhnang",2002,19,300.1859164,27.0359164
"Kampong Chhnang",2002,20,300.833266321429,27.6832663214286
"Kampong Chhnang",2002,21,301.080422807143,27.9304228071429
"Kampong Chhnang",2002,22,300.307872064286,27.1578720642858
"Kampong Chhnang",2002,23,300.464393185714,27.3143931857143
"Kampong Chhnang",2002,24,300.482186528571,27.3321865285715
"Kampong Chhnang",2002,25,300.887113292857,27.7371132928572
"Kampong Chhnang",2002,26,301.597858513333,28.4478585133334
"Kampong Speu",2002,1,297.149987164286,23.9999871642858
"Kampong Speu",2002,2,300.283598071429,27.1335980714286
"Kampong Speu",2002,3,299.875751792857,26.7257517928572
"Kampong Speu",2002,4,300.465344457143,27.3153444571429
"Kampong Speu",2002,5,300.287542742857,27.1375427428572
"Kampong Speu",2002,6,302.315405271429,29.1654052714286
"Kampong Speu",2002,7,301.651645407143,28.5016454071429
"Kampong Speu",2002,8,300.832783542857,27.6827835428572
"Kampong Speu",2002,9,302.204649978571,29.0546499785714
"Kampong Speu",2002,10,301.304088435714,28.1540884357143
"Kampong Speu",2002,11,300.875635078571,27.7256350785714
"Kampong Speu",2002,12,301.204102692857,28.0541026928572
"Kampong Speu",2002,13,299.609230514286,26.4592305142858
"Kampong Speu",2002,14,300.7799287,27.6299287000001
"Kampong Speu",2002,15,300.603149814286,27.4531498142857
"Kampong Speu",2002,16,299.492390778571,26.3423907785715
"Kampong Speu",2002,17,298.5033812,25.3533812
"Kampong Speu",2002,18,299.468148707143,26.3181487071429
"Kampong Speu",2002,19,298.7856054,25.6356054
"Kampong Speu",2002,20,299.313086621429,26.1630866214286
"Kampong Speu",2002,21,299.9494709,26.7994709
"Kampong Speu",2002,22,299.03801895,25.88801895
"Kampong Speu",2002,23,299.484886935714,26.3348869357143
"Kampong Speu",2002,24,299.506401171429,26.3564011714286
"Kampong Speu",2002,25,299.8288689,26.6788689
"Kampong Speu",2002,26,300.475094433333,27.3250944333333
"Kampong Thom",2002,1,298.353176707143,25.2031767071429
"Kampong Thom",2002,2,301.811719792857,28.6617197928572
"Kampong Thom",2002,3,301.481952671429,28.3319526714286
"Kampong Thom",2002,4,302.771101928571,29.6211019285715
"Kampong Thom",2002,5,302.884797835714,29.7347978357143
"Kampong Thom",2002,6,304.824585757143,31.6745857571429
"Kampong Thom",2002,7,303.940824707143,30.7908247071429
"Kampong Thom",2002,8,302.945948885714,29.7959488857143
"Kampong Thom",2002,9,302.672370792857,29.5223707928571
"Kampong Thom",2002,10,302.918934285714,29.7689342857143
"Kampong Thom",2002,11,302.4568975,29.3068975
"Kampong Thom",2002,12,302.499871335714,29.3498713357143
"Kampong Thom",2002,13,301.498531128571,28.3485311285714
"Kampong Thom",2002,14,302.37893485,29.22893485
"Kampong Thom",2002,15,302.336621764286,29.1866217642857
"Kampong Thom",2002,16,301.713302228571,28.5633022285714
"Kampong Thom",2002,17,299.738266457143,26.5882664571429
"Kampong Thom",2002,18,300.620833328571,27.4708333285715
"Kampong Thom",2002,19,299.680703778571,26.5307037785715
"Kampong Thom",2002,20,300.702743921429,27.5527439214286
"Kampong Thom",2002,21,300.972056842857,27.8220568428572
"Kampong Thom",2002,22,300.390430742857,27.2404307428571
"Kampong Thom",2002,23,300.526797092857,27.3767970928571
"Kampong Thom",2002,24,300.768786307143,27.6187863071429
"Kampong Thom",2002,25,301.581363685714,28.4313636857143
"Kampong Thom",2002,26,302.29106084,29.14106084
"Kampot",2002,1,297.784316092857,24.6343160928571
"Kampot",2002,2,299.942981992857,26.7929819928572
"Kampot",2002,3,299.523138035714,26.3731380357143
"Kampot",2002,4,299.90591245,26.75591245
"Kampot",2002,5,300.220562164286,27.0705621642857
"Kampot",2002,6,301.597015792857,28.4470157928571
"Kampot",2002,7,301.195708342857,28.0457083428572
"Kampot",2002,8,301.087538585714,27.9375385857143
"Kampot",2002,9,301.933923135714,28.7839231357143
"Kampot",2002,10,300.87441845,27.72441845
"Kampot",2002,11,300.67784335,27.52784335
"Kampot",2002,12,300.62046245,27.47046245
"Kampot",2002,13,299.33872745,26.18872745
"Kampot",2002,14,300.401232721429,27.2512327214286
"Kampot",2002,15,300.227632021429,27.0776320214286
"Kampot",2002,16,299.300918728571,26.1509187285715
"Kampot",2002,17,298.502680235714,25.3526802357143
"Kampot",2002,18,299.492407764286,26.3424077642857
"Kampot",2002,19,298.786680857143,25.6366808571429
"Kampot",2002,20,299.3964878,26.2464878
"Kampot",2002,21,299.947782235714,26.7977822357143
"Kampot",2002,22,299.284789221429,26.1347892214286
"Kampot",2002,23,299.652530292857,26.5025302928572
"Kampot",2002,24,299.63058625,26.48058625
"Kampot",2002,25,299.972656914286,26.8226569142857
"Kampot",2002,26,300.495741593333,27.3457415933333
"Kandal",2002,1,299.053824971429,25.9038249714286
"Kandal",2002,2,302.133374921429,28.9833749214286
"Kandal",2002,3,301.566980514286,28.4169805142857
"Kandal",2002,4,302.318873292857,29.1688732928571
"Kandal",2002,5,302.9199935,29.7699935
"Kandal",2002,6,304.583602642857,31.4336026428572
"Kandal",2002,7,304.528200657143,31.3782006571429
"Kandal",2002,8,303.996352128571,30.8463521285715
"Kandal",2002,9,305.120262464286,31.9702624642857
"Kandal",2002,10,303.8886228,30.7386228
"Kandal",2002,11,303.332070342857,30.1820703428572
"Kandal",2002,12,303.259774928571,30.1097749285714
"Kandal",2002,13,301.639164014286,28.4891640142857
"Kandal",2002,14,303.177471807143,30.0274718071429
"Kandal",2002,15,303.259687892857,30.1096878928572
"Kandal",2002,16,302.254867542857,29.1048675428572
"Kandal",2002,17,300.35072015,27.2007201500001
"Kandal",2002,18,301.59027925,28.44027925
"Kandal",2002,19,300.729989421429,27.5799894214286
"Kandal",2002,20,301.342989528571,28.1929895285714
"Kandal",2002,21,301.636327178571,28.4863271785715
"Kandal",2002,22,300.829854264286,27.6798542642857
"Kandal",2002,23,300.932898228571,27.7828982285715
"Kandal",2002,24,300.86122975,27.71122975
"Kandal",2002,25,301.2800313,28.1300313
"Kandal",2002,26,302.085878726667,28.9358787266667
"Kep",2002,1,298.150303578571,25.0003035785714
"Kep",2002,2,299.87378255,26.72378255
"Kep",2002,3,299.400927278571,26.2509272785715
"Kep",2002,4,299.836015457143,26.6860154571429
"Kep",2002,5,300.31572245,27.16572245
"Kep",2002,6,301.456527842857,28.3065278428572
"Kep",2002,7,301.349613142857,28.1996131428572
"Kep",2002,8,301.444718142857,28.2947181428572
"Kep",2002,9,302.0047358,28.8547358
"Kep",2002,10,301.119852007143,27.9698520071429
"Kep",2002,11,301.018575021429,27.8685750214286
"Kep",2002,12,300.924054792857,27.7740547928572
"Kep",2002,13,299.681743107143,26.5317431071429
"Kep",2002,14,300.617123242857,27.4671232428572
"Kep",2002,15,300.529704028571,27.3797040285714
"Kep",2002,16,299.691637842857,26.5416378428572
"Kep",2002,17,298.933044842857,25.7830448428572
"Kep",2002,18,299.907031292857,26.7570312928572
"Kep",2002,19,299.176831907143,26.0268319071429
"Kep",2002,20,299.790554528571,26.6405545285714
"Kep",2002,21,300.360077028571,27.2100770285714
"Kep",2002,22,299.678121607143,26.5281216071429
"Kep",2002,23,299.87957555,26.72957555
"Kep",2002,24,299.873812692857,26.7238126928572
"Kep",2002,25,300.212741128571,27.0627411285715
"Kep",2002,26,300.830688053333,27.6806880533334
"Koh Kong",2002,1,296.792961692857,23.6429616928572
"Koh Kong",2002,2,298.566000814286,25.4160008142857
"Koh Kong",2002,3,298.063171214286,24.9131712142857
"Koh Kong",2002,4,298.461348264286,25.3113482642858
"Koh Kong",2002,5,297.877876242857,24.7278762428572
"Koh Kong",2002,6,299.550879692857,26.4008796928572
"Koh Kong",2002,7,299.245680021429,26.0956800214286
"Koh Kong",2002,8,298.952471678571,25.8024716785715
"Koh Kong",2002,9,299.551207171429,26.4012071714286
"Koh Kong",2002,10,299.061882321429,25.9118823214286
"Koh Kong",2002,11,298.937061892857,25.7870618928571
"Koh Kong",2002,12,299.056655935714,25.9066559357143
"Koh Kong",2002,13,298.237372535714,25.0873725357143
"Koh Kong",2002,14,299.036459385714,25.8864593857143
"Koh Kong",2002,15,298.539809442857,25.3898094428571
"Koh Kong",2002,16,297.913915914286,24.7639159142857
"Koh Kong",2002,17,297.747094521429,24.5970945214286
"Koh Kong",2002,18,298.383677357143,25.2336773571429
"Koh Kong",2002,19,297.772877207143,24.6228772071429
"Koh Kong",2002,20,298.422109357143,25.2721093571429
"Koh Kong",2002,21,299.096373385714,25.9463733857143
"Koh Kong",2002,22,298.342638257143,25.1926382571429
"Koh Kong",2002,23,298.895736607143,25.7457366071429
"Koh Kong",2002,24,298.7188076,25.5688076
"Koh Kong",2002,25,298.842030964286,25.6920309642857
"Koh Kong",2002,26,298.768828386667,25.6188283866667
"Kratie",2002,1,298.613601221429,25.4636012214286
"Kratie",2002,2,301.755587214286,28.6055872142857
"Kratie",2002,3,301.14659815,27.99659815
"Kratie",2002,4,302.360038207143,29.2100382071429
"Kratie",2002,5,303.127704185714,29.9777041857143
"Kratie",2002,6,304.560116485714,31.4101164857143
"Kratie",2002,7,304.365303257143,31.2153032571429
"Kratie",2002,8,303.755933385714,30.6059333857143
"Kratie",2002,9,304.065616507143,30.9156165071429
"Kratie",2002,10,303.441399785714,30.2913997857143
"Kratie",2002,11,302.100040457143,28.9500404571429
"Kratie",2002,12,301.421065571429,28.2710655714286
"Kratie",2002,13,300.6036894,27.4536894
"Kratie",2002,14,301.377254757143,28.2272547571429
"Kratie",2002,15,301.322786742857,28.1727867428572
"Kratie",2002,16,300.631822421429,27.4818224214286
"Kratie",2002,17,299.159397242857,26.0093972428572
"Kratie",2002,18,300.088385892857,26.9383858928572
"Kratie",2002,19,299.332453507143,26.1824535071429
"Kratie",2002,20,300.568598764286,27.4185987642857
"Kratie",2002,21,300.658365557143,27.5083655571429
"Kratie",2002,22,300.337904785714,27.1879047857143
"Kratie",2002,23,300.146932542857,26.9969325428572
"Kratie",2002,24,300.432510135714,27.2825101357143
"Kratie",2002,25,301.251646085714,28.1016460857143
"Kratie",2002,26,301.796715906667,28.6467159066667
"Mondul Kiri",2002,1,297.929440521429,24.7794405214286
"Mondul Kiri",2002,2,301.081148835714,27.9311488357143
"Mondul Kiri",2002,3,300.304238914286,27.1542389142858
"Mondul Kiri",2002,4,301.069439907143,27.9194399071429
"Mondul Kiri",2002,5,302.213476557143,29.0634765571428
"Mondul Kiri",2002,6,303.891646407143,30.7416464071429
"Mondul Kiri",2002,7,303.920733264286,30.7707332642858
"Mondul Kiri",2002,8,303.445330585714,30.2953305857143
"Mondul Kiri",2002,9,304.651997557143,31.5019975571429
"Mondul Kiri",2002,10,303.080007485714,29.9300074857143
"Mondul Kiri",2002,11,301.440151435714,28.2901514357143
"Mondul Kiri",2002,12,300.830325878571,27.6803258785715
"Mondul Kiri",2002,13,299.974041742857,26.8240417428572
"Mondul Kiri",2002,14,300.366316728571,27.2163167285714
"Mondul Kiri",2002,15,300.376560478571,27.2265604785715
"Mondul Kiri",2002,16,299.794258221429,26.6442582214286
"Mondul Kiri",2002,17,298.494501928571,25.3445019285714
"Mondul Kiri",2002,18,299.336201592857,26.1862015928572
"Mondul Kiri",2002,19,298.614568557143,25.4645685571429
"Mondul Kiri",2002,20,299.925488207143,26.7754882071429
"Mondul Kiri",2002,21,299.837553514286,26.6875535142858
"Mondul Kiri",2002,22,299.873522128571,26.7235221285715
"Mondul Kiri",2002,23,299.642919621429,26.4929196214286
"Mondul Kiri",2002,24,299.980285171429,26.8302851714286
"Mondul Kiri",2002,25,300.792313442857,27.6423134428572
"Mondul Kiri",2002,26,300.931488593333,27.7814885933333
"Otdar Meanchey",2002,1,296.507933557143,23.3579335571429
"Otdar Meanchey",2002,2,299.636136914286,26.4861369142857
"Otdar Meanchey",2002,3,299.708401742857,26.5584017428571
"Otdar Meanchey",2002,4,301.101056971429,27.9510569714286
"Otdar Meanchey",2002,5,300.978370228571,27.8283702285714
"Otdar Meanchey",2002,6,303.499426035714,30.3494260357143
"Otdar Meanchey",2002,7,303.906163307143,30.7561633071429
"Otdar Meanchey",2002,8,302.812554971429,29.6625549714286
"Otdar Meanchey",2002,9,302.559729535714,29.4097295357143
"Otdar Meanchey",2002,10,301.138114885714,27.9881148857143
"Otdar Meanchey",2002,11,301.444284235714,28.2942842357143
"Otdar Meanchey",2002,12,302.107702692857,28.9577026928571
"Otdar Meanchey",2002,13,301.156814142857,28.0068141428571
"Otdar Meanchey",2002,14,301.679215485714,28.5292154857143
"Otdar Meanchey",2002,15,301.50125765,28.35125765
"Otdar Meanchey",2002,16,300.644001085714,27.4940010857143
"Otdar Meanchey",2002,17,299.52392925,26.37392925
"Otdar Meanchey",2002,18,299.972143192857,26.8221431928572
"Otdar Meanchey",2002,19,299.547195792857,26.3971957928572
"Otdar Meanchey",2002,20,300.498188057143,27.3481880571429
"Otdar Meanchey",2002,21,299.922430428571,26.7724304285715
"Otdar Meanchey",2002,22,299.786895885714,26.6368958857143
"Otdar Meanchey",2002,23,299.596953242857,26.4469532428571
"Otdar Meanchey",2002,24,299.682054764286,26.5320547642858
"Otdar Meanchey",2002,25,300.018030114286,26.8680301142857
"Otdar Meanchey",2002,26,300.138039706667,26.9880397066667
"Pailin",2002,1,296.437939507143,23.2879395071429
"Pailin",2002,2,299.468005657143,26.3180056571429
"Pailin",2002,3,299.15351445,26.00351445
"Pailin",2002,4,300.229983985714,27.0799839857143
"Pailin",2002,5,299.122369385714,25.9723693857143
"Pailin",2002,6,300.645541585714,27.4955415857143
"Pailin",2002,7,300.926078892857,27.7760788928572
"Pailin",2002,8,300.177730621429,27.0277306214286
"Pailin",2002,9,300.397569842857,27.2475698428572
"Pailin",2002,10,299.700985771429,26.5509857714286
"Pailin",2002,11,300.244092614286,27.0940926142857
"Pailin",2002,12,300.2638969,27.1138969
"Pailin",2002,13,299.518305964286,26.3683059642858
"Pailin",2002,14,300.364286142857,27.2142861428572
"Pailin",2002,15,299.595307007143,26.4453070071429
"Pailin",2002,16,299.463062871429,26.3130628714286
"Pailin",2002,17,298.963731842857,25.8137318428572
"Pailin",2002,18,299.4103054,26.2603054
"Pailin",2002,19,298.88428055,25.73428055
"Pailin",2002,20,299.61003465,26.46003465
"Pailin",2002,21,299.774626064286,26.6246260642857
"Pailin",2002,22,299.0077993,25.8577993
"Pailin",2002,23,299.132391428571,25.9823914285714
"Pailin",2002,24,299.376715607143,26.2267156071429
"Pailin",2002,25,299.6387878,26.4887878
"Pailin",2002,26,299.790080333333,26.6400803333333
"Phnom Penh",2002,1,298.917767485714,25.7677674857143
"Phnom Penh",2002,2,302.193478964286,29.0434789642857
"Phnom Penh",2002,3,301.672349578571,28.5223495785714
"Phnom Penh",2002,4,302.46282655,29.31282655
"Phnom Penh",2002,5,303.007511078571,29.8575110785715
"Phnom Penh",2002,6,304.8472255,31.6972255
"Phnom Penh",2002,7,304.421531885714,31.2715318857143
"Phnom Penh",2002,8,303.875123114286,30.7251231142857
"Phnom Penh",2002,9,304.958497557143,31.8084975571429
"Phnom Penh",2002,10,303.933283385714,30.7832833857143
"Phnom Penh",2002,11,303.375889507143,30.2258895071429
"Phnom Penh",2002,12,303.494986307143,30.3449863071429
"Phnom Penh",2002,13,301.664070478571,28.5140704785715
"Phnom Penh",2002,14,303.223907428571,30.0739074285714
"Phnom Penh",2002,15,303.387872628571,30.2378726285714
"Phnom Penh",2002,16,302.291664078571,29.1416640785715
"Phnom Penh",2002,17,300.31487515,27.1648751500001
"Phnom Penh",2002,18,301.517425792857,28.3674257928571
"Phnom Penh",2002,19,300.678904385714,27.5289043857143
"Phnom Penh",2002,20,301.267878307143,28.1178783071429
"Phnom Penh",2002,21,301.594743257143,28.4447432571429
"Phnom Penh",2002,22,300.71033675,27.56033675
"Phnom Penh",2002,23,300.8887355,27.7387355
"Phnom Penh",2002,24,300.865527385714,27.7155273857143
"Phnom Penh",2002,25,301.263341885714,28.1133418857143
"Phnom Penh",2002,26,302.242783973333,29.0927839733334
"Preah Sihanouk",2002,1,298.292171228571,25.1421712285714
"Preah Sihanouk",2002,2,299.584487614286,26.4344876142857
"Preah Sihanouk",2002,3,299.253160628571,26.1031606285715
"Preah Sihanouk",2002,4,299.456018542857,26.3060185428571
