"year","births","pop","deaths","provname"
1960,46.626,289573.7682136,21.77,"Banteay Meanchey"
1961,46.353,297194.4980784,21.61,"Banteay Meanchey"
1962,46.067,305061.6684492,21.435,"Banteay Meanchey"
1963,45.762,312912.9492268,21.254,"Banteay Meanchey"
1964,45.435,320395.0752834,21.086,"Banteay Meanchey"
1965,45.082,327264.4399258,20.859,"Banteay Meanchey"
1966,44.702,333227.7435292,20.472,"Banteay Meanchey"
1967,44.302,338335.0332518,19.965,"Banteay Meanchey"
1968,43.89,343082.5299564,19.485,"Banteay Meanchey"
1969,43.474,348185.6701674,19.246,"Banteay Meanchey"
1970,43.026,354053.3325888,19.885,"Banteay Meanchey"
1971,42.508,361292.914632,22.164,"Banteay Meanchey"
1972,41.928,369514.7164332,26.319,"Banteay Meanchey"
1973,41.333,376959.4968854,32.166,"Banteay Meanchey"
1974,40.795,381215.2258616,39.186,"Banteay Meanchey"
1975,40.491,380766.1171366,46.18,"Banteay Meanchey"
1976,40.626,374705.3000106,51.642,"Banteay Meanchey"
1977,41.288,364147.0701596,54.444,"Banteay Meanchey"
1978,42.466,352064.1478146,53.981,"Banteay Meanchey"
1979,44.067,342607.6132934,50.262,"Banteay Meanchey"
1980,45.883,338729.6416842,43.92,"Banteay Meanchey"
1981,47.64,341568.0088262,36.102,"Banteay Meanchey"
1982,49.063,350168.3270514,28.323,"Banteay Meanchey"
1983,49.943,362829.4484152,21.785,"Banteay Meanchey"
1984,50.185,376889.2082072,17.007,"Banteay Meanchey"
1985,49.766,390402.9529972,14.164,"Banteay Meanchey"
1986,48.756,402854.4228176,13.009,"Banteay Meanchey"
1987,47.36,414854.1019116,12.757,"Banteay Meanchey"
1988,45.769,426889.0518542,12.753,"Banteay Meanchey"
1989,44.077,439814.3756578,12.775,"Banteay Meanchey"
1990,42.358,454199.3154686,12.678,"Banteay Meanchey"
1991,40.647,470073.7781324,12.43,"Banteay Meanchey"
1992,38.94,487005.8602162,12.139,"Banteay Meanchey"
1993,37.251,504556.6749626,11.88,"Banteay Meanchey"
