"provname","regtype","AIC","rsquared","Prop_Susceptible","epiyr"
"Banteay Meanchey","lm",14315.251278498,0.56,9.2,2007
"Banteay Meanchey","gaussian",13072.3489734893,0.63,6,2007
"Battambang","lm",18927.7369740946,0.48,6.2,2007
"Battambang","gaussian",25493.9992866509,0.15,2,2007
"Kampong Cham","lm",8924.042466496,0.85,4.8,2007
"Kampong Cham","gaussian",11172.9806978141,0.37,1.2,2007
"Kampong Chhnang","lm",11183.0094078976,0.43,33,2007
"Kampong Chhnang","gaussian",12952.9348930909,0.62,1.6,2007
"Kampong Speu","lm",12746.8940173986,0.68,7.3,2007
"Kampong Speu","gaussian",12742.7935502554,0.26,1.2,2007
"Kampong Thom","lm",8038.99412382957,0.42,59,2007
"Kampong Thom","gaussian",8195.79552837416,0.54,1.8,2007
"Kampot","lm",19636.5719157556,0.43,3.3,2007
"Kampot","gaussian",19122.9885107704,0.46,1,2007
"Kandal","lm",12975.0428318249,0.34,96,2007
"Kandal","gaussian",10441.7832464942,0.74,1.8,2007
"Kep","lm",1045.28538060315,0.55,7.3,2007
"Kep","gaussian",900.406086062171,0.69,1,2007
"Koh Kong","lm",1456.53860514502,0.3,5.4,2007
"Koh Kong","gaussian",1270.80681116901,0.56,1,2007
"Kratie","lm",19303.9667650894,0.46,5.1,2007
"Kratie","gaussian",10540.2950057905,0.58,1,2007
"Mondul Kiri","lm",840.050628086848,0.14,4.5,2007
"Mondul Kiri","gaussian",852.483712863387,0.062,1.6,2007
"Otdar Meanchey","lm",5835.70354169311,0.3,19,2007
"Otdar Meanchey","gaussian",5383.86536528803,0.61,1,2007
"Pailin","lm",1292.13514017906,0.21,19,2007
"Pailin","gaussian",1028.79165397516,0.61,1,2007
"Phnom Penh","lm",10900.6817866396,0.52,46,2007
"Phnom Penh","gaussian",9585.47180346184,0.59,1.2,2007
"Preah Sihanouk","lm",5912.95165918088,0.28,5.8,2007
"Preah Sihanouk","gaussian",4373.19272152969,0.51,1,2007
"Preah Vihear","lm",5195.74817647993,0.45,2.7,2007
"Preah Vihear","gaussian",4518.15457013817,0.32,1,2007
"Prey Veng","lm",15330.1501679579,0.49,11,2007
"Prey Veng","gaussian",15711.7669975276,0.45,1,2007
"Pursat","lm",10719.7762294317,0.42,4.1,2007
"Pursat","gaussian",12419.0959331197,0.34,1,2007
"Ratanak Kiri","lm",1077.09712841643,0.18,2.9,2007
"Ratanak Kiri","gaussian",1058.39414137616,0.2,1,2007
"Siem Reap","lm",20615.7477680086,0.48,39,2007
"Siem Reap","gaussian",19189.7466667297,0.73,9.8,2007
"Stung Treng","lm",4620.07111295465,0.78,11,2007
"Stung Treng","gaussian",3110.55429709402,0.71,1,2007
"Svay Rieng","lm",21687.6999876059,0.45,3.8,2007
