accession_num,NIH.ID,date,year,lat,long,DENV.serotype,DENV.subtype,country
FJ639674,NA,contact authors for access,2002,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
GQ868618,NA,contact authors for access,2003,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
GQ868619,NA,contact authors for access,2003,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
FJ850069,NA,contact authors for access,2003,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
FJ639675,NA,contact authors for access,2003,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
FJ639676,NA,contact authors for access,2003,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
FJ639677,NA,contact authors for access,2003,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
FJ639678,NA,contact authors for access,2003,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
FJ639679,NA,contact authors for access,2003,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
FJ639680,NA,contact authors for access,2003,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
FJ639681,NA,contact authors for access,2003,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
JQ287664,NA,contact authors for access,2004,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
FJ639682,NA,contact authors for access,2004,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
GU131923,NA,contact authors for access,2005,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
FJ639683,NA,contact authors for access,2005,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
FJ639684,NA,contact authors for access,2005,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
FJ639685,NA,contact authors for access,2005,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
HM631852,NA,contact authors for access,2006,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
HM181939,NA,contact authors for access,2006,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
HM181941,NA,contact authors for access,2006,contact authors for access,contact authors for access,DENV-1,DENV-1,Cambodia
