"seas","year","total","oni_anomaly","month"
"DJF",1950,24.72,-1.53,1
"JFM",1950,25.17,-1.34,2
"FMA",1950,25.75,-1.16,3
"MAM",1950,26.12,-1.18,4
"AMJ",1950,26.32,-1.07,5
"MJJ",1950,26.31,-0.85,6
"JJA",1950,26.21,-0.54,7
"JAS",1950,25.96,-0.42,8
"ASO",1950,25.76,-0.39,9
"SON",1950,25.63,-0.44,10
"OND",1950,25.48,-0.6,11
"NDJ",1950,25.34,-0.8,12
"DJF",1951,25.42,-0.82,1
"JFM",1951,25.96,-0.54,2
"FMA",1951,26.74,-0.17,3
"MAM",1951,27.48,0.18,4
"AMJ",1951,27.75,0.36,5
"MJJ",1951,27.75,0.58,6
"JJA",1951,27.44,0.7,7
"JAS",1951,27.28,0.89,8
"ASO",1951,27.14,0.99,9
"SON",1951,27.22,1.15,10
"OND",1951,27.12,1.04,11
"NDJ",1951,26.95,0.81,12
"DJF",1952,26.78,0.53,1
"JFM",1952,26.87,0.37,2
"FMA",1952,27.25,0.34,3
"MAM",1952,27.6,0.29,4
"AMJ",1952,27.59,0.2,5
"MJJ",1952,27.17,0,6
"JJA",1952,26.67,-0.08,7
"JAS",1952,26.39,0,8
"ASO",1952,26.3,0.15,9
"SON",1952,26.17,0.1,10
"OND",1952,26.13,0.04,11
"NDJ",1952,26.29,0.15,12
"DJF",1953,26.65,0.4,1
"JFM",1953,27.1,0.6,2
"FMA",1953,27.53,0.63,3
"MAM",1953,27.96,0.66,4
"AMJ",1953,28.14,0.75,5
"MJJ",1953,27.94,0.77,6
"JJA",1953,27.49,0.75,7
"JAS",1953,27.12,0.73,8
"ASO",1953,26.93,0.78,9
"SON",1953,26.91,0.84,10
"OND",1953,26.92,0.84,11
"NDJ",1953,26.95,0.81,12
"DJF",1954,27,0.76,1
"JFM",1954,26.97,0.47,2
"FMA",1954,26.86,-0.05,3
"MAM",1954,26.89,-0.41,4
"AMJ",1954,26.85,-0.54,5
"MJJ",1954,26.67,-0.5,6
"JJA",1954,26.1,-0.64,7
"JAS",1954,25.54,-0.84,8
"ASO",1954,25.25,-0.9,9
"SON",1954,25.3,-0.77,10
"OND",1954,25.35,-0.73,11
"NDJ",1954,25.48,-0.66,12
"DJF",1955,25.57,-0.68,1
"JFM",1955,25.89,-0.62,2
"FMA",1955,26.22,-0.69,3
"MAM",1955,26.5,-0.8,4
"AMJ",1955,26.6,-0.79,5
"MJJ",1955,26.45,-0.72,6
"JJA",1955,26.06,-0.68,7
"JAS",1955,25.64,-0.75,8
"ASO",1955,25.06,-1.09,9
"SON",1955,24.65,-1.42,10
"OND",1955,24.41,-1.67,11
"NDJ",1955,24.72,-1.47,12
"DJF",1956,25.23,-1.11,1
"JFM",1956,25.86,-0.76,2
"FMA",1956,26.37,-0.63,3
"MAM",1956,26.82,-0.54,4
"AMJ",1956,26.93,-0.52,5
"MJJ",1956,26.72,-0.51,6
"JJA",1956,26.23,-0.57,7
"JAS",1956,25.87,-0.55,8
"ASO",1956,25.71,-0.46,9
"SON",1956,25.67,-0.42,10
"OND",1956,25.67,-0.43,11
"NDJ",1956,25.77,-0.43,12
"DJF",1957,26.09,-0.25,1
"JFM",1957,26.68,0.06,2
"FMA",1957,27.41,0.41,3
"MAM",1957,28.08,0.72,4
"AMJ",1957,28.37,0.92,5
"MJJ",1957,28.34,1.11,6
"JJA",1957,28.06,1.25,7
"JAS",1957,27.75,1.32,8
"ASO",1957,27.5,1.33,9
"SON",1957,27.48,1.39,10
"OND",1957,27.64,1.53,11
"NDJ",1957,27.94,1.74,12
"DJF",1958,28.15,1.81,1
"JFM",1958,28.27,1.66,2
"FMA",1958,28.26,1.27,3
"MAM",1958,28.28,0.93,4
"AMJ",1958,28.19,0.74,5
"MJJ",1958,27.87,0.64,6
"JJA",1958,27.38,0.57,7
"JAS",1958,26.85,0.43,8
"ASO",1958,26.56,0.39,9
"SON",1958,26.53,0.44,10
"OND",1958,26.6,0.5,11
"NDJ",1958,26.81,0.61,12
"DJF",1959,26.95,0.61,1
"JFM",1959,27.24,0.62,2
"FMA",1959,27.51,0.52,3
"MAM",1959,27.68,0.33,4
"AMJ",1959,27.65,0.2,5
"MJJ",1959,27.16,-0.07,6
"JJA",1959,26.63,-0.18,7
"JAS",1959,26.15,-0.28,8
"ASO",1959,26.08,-0.09,9
"SON",1959,26.07,-0.03,10
"OND",1959,26.15,0.05,11
"NDJ",1959,26.16,-0.04,12
"DJF",1960,26.24,-0.1,1
"JFM",1960,26.51,-0.1,2
"FMA",1960,26.92,-0.07,3
"MAM",1960,27.39,0.03,4
"AMJ",1960,27.47,0.02,5
"MJJ",1960,27.26,0.03,6
"JJA",1960,26.93,0.13,7
"JAS",1960,26.66,0.24,8
"ASO",1960,26.44,0.27,9
"SON",1960,26.3,0.2,10
"OND",1960,26.23,0.12,11
"NDJ",1960,26.23,0.05,12
"DJF",1961,26.34,0.04,1
"JFM",1961,26.58,0.03,2
"FMA",1961,26.96,0.04,3
"MAM",1961,27.35,0.09,4
"AMJ",1961,27.59,0.23,5
"MJJ",1961,27.42,0.27,6
"JJA",1961,26.9,0.14,7
"JAS",1961,26.27,-0.13,8
"ASO",1961,25.89,-0.3,9
"SON",1961,25.85,-0.26,10
"OND",1961,25.91,-0.19,11
"NDJ",1961,26,-0.16,12
"DJF",1962,26.05,-0.24,1
"JFM",1962,26.32,-0.22,2
"FMA",1962,26.71,-0.2,3
"MAM",1962,27,-0.26,4
"AMJ",1962,27.09,-0.28,5
"MJJ",1962,26.96,-0.2,6
"JJA",1962,26.72,-0.04,7
"JAS",1962,26.34,-0.07,8
"ASO",1962,26.07,-0.11,9
"SON",1962,25.88,-0.22,10
"OND",1962,25.79,-0.31,11
"NDJ",1962,25.73,-0.43,12
"DJF",1963,25.89,-0.4,1
"JFM",1963,26.39,-0.15,2
"FMA",1963,27.07,0.15,3
"MAM",1963,27.53,0.27,4
"AMJ",1963,27.68,0.31,5
