pop_size,eff_chains,locale,lci,uci
1267.270922,1.622742115,Bangkok,1.335805473,2.956722492
5025.191328,2.35054204,Bangkok,1.903792201,4.145976832
11378.34284,2.945335025,Bangkok,2.199759837,4.713659786
31095.30646,5.020654988,Bangkok,3.571695056,9.147900577
59814.58917,6.500342454,Bangkok,4.93422551,11.84396989
120719.8131,11.0864801,Bangkok,7.635250577,19.24102337
267436.2634,18.60105694,Bangkok,12.81053405,30.7500294
681765.3569,34.38964853,Bangkok,23.68412531,56.84834452
8928081.576,147.3207048,Bangkok,72.18138709,210.4795045
777282.0141,6.064658594,Thai_Countryside,5.15663773,7.861065402
874184.9025,7.247384689,Thai_Countryside,6.26327669,8.94771135
983572.2526,9.392197673,Thai_Countryside,7.73144971,13.6370296
2625789.734,15.75319099,Thai_Countryside,11.9582912,31.63608548
1356556.095,3.548021011,Thai_Countryside,3.0167995,4.598976972
