"provname","epiyr","biweek","sus_reconstruction","rsquared","beta","CI","alpha"
"Banteay Meanchey",2007,1,"gaussian",0.63,8.9e-05,"[7.9e-05-9.9e-05]",0.733
"Banteay Meanchey",2007,2,"gaussian",0.63,6.6e-05,"[5.8e-05-7.4e-05]",0.733
"Banteay Meanchey",2007,3,"gaussian",0.63,6.8e-05,"[5.9e-05-7.7e-05]",0.733
"Banteay Meanchey",2007,4,"gaussian",0.63,0.00019,"[0.00017-2e-04]",0.733
"Banteay Meanchey",2007,5,"gaussian",0.63,9.1e-05,"[8.3e-05-1e-04]",0.733
"Banteay Meanchey",2007,6,"gaussian",0.63,0.00013,"[0.00012-0.00014]",0.733
"Banteay Meanchey",2007,7,"gaussian",0.63,1e-04,"[9.4e-05-0.00011]",0.733
"Banteay Meanchey",2007,8,"gaussian",0.63,0.00018,"[0.00016-0.00019]",0.733
"Banteay Meanchey",2007,9,"gaussian",0.63,0.00016,"[0.00015-0.00017]",0.733
"Banteay Meanchey",2007,10,"gaussian",0.63,0.00023,"[0.00021-0.00025]",0.733
"Banteay Meanchey",2007,11,"gaussian",0.63,0.00016,"[0.00015-0.00018]",0.733
"Banteay Meanchey",2007,12,"gaussian",0.63,0.00022,"[2e-04-0.00024]",0.733
"Banteay Meanchey",2007,13,"gaussian",0.63,0.00025,"[0.00023-0.00027]",0.733
"Banteay Meanchey",2007,14,"gaussian",0.63,0.00022,"[2e-04-0.00024]",0.733
"Banteay Meanchey",2007,15,"gaussian",0.63,0.00017,"[0.00015-0.00018]",0.733
"Banteay Meanchey",2007,16,"gaussian",0.63,0.00019,"[0.00017-2e-04]",0.733
"Banteay Meanchey",2007,17,"gaussian",0.63,0.00017,"[0.00015-0.00018]",0.733
"Banteay Meanchey",2007,18,"gaussian",0.63,0.00012,"[0.00011-0.00014]",0.733
"Banteay Meanchey",2007,19,"gaussian",0.63,0.00015,"[0.00014-0.00016]",0.733
"Banteay Meanchey",2007,20,"gaussian",0.63,0.00012,"[0.00011-0.00013]",0.733
"Banteay Meanchey",2007,21,"gaussian",0.63,0.00011,"[1e-04-0.00012]",0.733
"Banteay Meanchey",2007,22,"gaussian",0.63,0.00011,"[1e-04-0.00012]",0.733
"Banteay Meanchey",2007,23,"gaussian",0.63,4.9e-05,"[4.4e-05-5.5e-05]",0.733
"Banteay Meanchey",2007,24,"gaussian",0.63,0.00013,"[0.00012-0.00014]",0.733
"Banteay Meanchey",2007,25,"gaussian",0.63,8.3e-05,"[7.5e-05-9.2e-05]",0.733
"Banteay Meanchey",2007,26,"gaussian",0.63,8.7e-05,"[7.7e-05-9.8e-05]",0.733
"Banteay Meanchey",2012,1,"gaussian",0.83,0.00038,"[0.00034-0.00042]",0.495
"Banteay Meanchey",2012,2,"gaussian",0.83,0.00019,"[0.00017-0.00022]",0.495
"Banteay Meanchey",2012,3,"gaussian",0.83,0.00016,"[0.00014-0.00019]",0.495
"Banteay Meanchey",2012,4,"gaussian",0.83,0.00039,"[0.00035-0.00044]",0.495
"Banteay Meanchey",2012,5,"gaussian",0.83,0.00037,"[0.00033-0.00041]",0.495
"Banteay Meanchey",2012,6,"gaussian",0.83,0.00031,"[0.00027-0.00034]",0.495
"Banteay Meanchey",2012,7,"gaussian",0.83,0.00034,"[3e-04-0.00038]",0.495
"Banteay Meanchey",2012,8,"gaussian",0.83,0.00058,"[0.00053-0.00064]",0.495
"Banteay Meanchey",2012,9,"gaussian",0.83,0.00039,"[0.00035-0.00043]",0.495
"Banteay Meanchey",2012,10,"gaussian",0.83,0.001,"[0.00091-0.0011]",0.495
"Banteay Meanchey",2012,11,"gaussian",0.83,0.001,"[0.00093-0.0011]",0.495
"Banteay Meanchey",2012,12,"gaussian",0.83,0.0011,"[0.001-0.0013]",0.495
"Banteay Meanchey",2012,13,"gaussian",0.83,0.0012,"[0.0011-0.0013]",0.495
"Banteay Meanchey",2012,14,"gaussian",0.83,0.00098,"[0.00087-0.0011]",0.495
"Banteay Meanchey",2012,15,"gaussian",0.83,0.0015,"[0.0013-0.0016]",0.495
"Banteay Meanchey",2012,16,"gaussian",0.83,0.0011,"[0.00097-0.0012]",0.495
"Banteay Meanchey",2012,17,"gaussian",0.83,0.00096,"[0.00086-0.0011]",0.495
"Banteay Meanchey",2012,18,"gaussian",0.83,0.00093,"[0.00084-0.001]",0.495
"Banteay Meanchey",2012,19,"gaussian",0.83,0.00081,"[0.00073-0.00091]",0.495
"Banteay Meanchey",2012,20,"gaussian",0.83,0.00078,"[7e-04-0.00087]",0.495
"Banteay Meanchey",2012,21,"gaussian",0.83,0.00056,"[5e-04-0.00062]",0.495
"Banteay Meanchey",2012,22,"gaussian",0.83,0.00037,"[0.00034-0.00042]",0.495
"Banteay Meanchey",2012,23,"gaussian",0.83,0.00032,"[0.00029-0.00036]",0.495
"Banteay Meanchey",2012,24,"gaussian",0.83,0.00047,"[0.00042-0.00052]",0.495
"Banteay Meanchey",2012,25,"gaussian",0.83,0.00023,"[2e-04-0.00026]",0.495
"Banteay Meanchey",2012,26,"gaussian",0.83,0.00023,"[2e-04-0.00026]",0.495
"Banteay Meanchey",2019,1,"gaussian",0.8,8.4e-05,"[7.7e-05-9.2e-05]",0.638
"Banteay Meanchey",2019,2,"gaussian",0.8,5.7e-05,"[5.2e-05-6.2e-05]",0.638
"Banteay Meanchey",2019,3,"gaussian",0.8,6.8e-05,"[6.2e-05-7.5e-05]",0.638
"Banteay Meanchey",2019,4,"gaussian",0.8,0.00011,"[1e-04-0.00012]",0.638
"Banteay Meanchey",2019,5,"gaussian",0.8,7e-05,"[6.4e-05-7.6e-05]",0.638
"Banteay Meanchey",2019,6,"gaussian",0.8,9.9e-05,"[9.1e-05-0.00011]",0.638
"Banteay Meanchey",2019,7,"gaussian",0.8,9e-05,"[8.3e-05-9.8e-05]",0.638
"Banteay Meanchey",2019,8,"gaussian",0.8,0.00012,"[0.00011-0.00013]",0.638
"Banteay Meanchey",2019,9,"gaussian",0.8,0.00012,"[0.00011-0.00013]",0.638
"Banteay Meanchey",2019,10,"gaussian",0.8,0.00013,"[0.00012-0.00014]",0.638
"Banteay Meanchey",2019,11,"gaussian",0.8,2e-04,"[0.00019-0.00022]",0.638
"Banteay Meanchey",2019,12,"gaussian",0.8,0.00018,"[0.00016-0.00019]",0.638
"Banteay Meanchey",2019,13,"gaussian",0.8,0.00019,"[0.00018-0.00021]",0.638
"Banteay Meanchey",2019,14,"gaussian",0.8,0.00021,"[0.00019-0.00022]",0.638
"Banteay Meanchey",2019,15,"gaussian",0.8,0.00021,"[0.00019-0.00022]",0.638
"Banteay Meanchey",2019,16,"gaussian",0.8,0.00016,"[0.00015-0.00018]",0.638
"Banteay Meanchey",2019,17,"gaussian",0.8,0.00019,"[0.00018-0.00021]",0.638
"Banteay Meanchey",2019,18,"gaussian",0.8,0.00014,"[0.00012-0.00015]",0.638
"Banteay Meanchey",2019,19,"gaussian",0.8,0.00015,"[0.00014-0.00016]",0.638
"Banteay Meanchey",2019,20,"gaussian",0.8,0.00017,"[0.00016-0.00019]",0.638
"Banteay Meanchey",2019,21,"gaussian",0.8,0.00014,"[0.00013-0.00015]",0.638
"Banteay Meanchey",2019,22,"gaussian",0.8,0.00011,"[1e-04-0.00012]",0.638
"Banteay Meanchey",2019,23,"gaussian",0.8,0.00013,"[0.00012-0.00014]",0.638
"Banteay Meanchey",2019,24,"gaussian",0.8,0.00011,"[1e-04-0.00012]",0.638
"Banteay Meanchey",2019,25,"gaussian",0.8,7.2e-05,"[6.6e-05-7.9e-05]",0.638
"Banteay Meanchey",2019,26,"gaussian",0.8,8.9e-05,"[8.2e-05-9.7e-05]",0.638
"Battambang",2007,1,"lm",0.48,6.1e-05,"[5.7e-05-6.6e-05]",0.74
"Battambang",2007,2,"lm",0.48,6.9e-05,"[6.4e-05-7.4e-05]",0.74
"Battambang",2007,3,"lm",0.48,6.8e-05,"[6.3e-05-7.3e-05]",0.74
"Battambang",2007,4,"lm",0.48,7.4e-05,"[6.8e-05-7.9e-05]",0.74
"Battambang",2007,5,"lm",0.48,6.8e-05,"[6.3e-05-7.3e-05]",0.74
"Battambang",2007,6,"lm",0.48,9.6e-05,"[9e-05-1e-04]",0.74
"Battambang",2007,7,"lm",0.48,8.4e-05,"[7.8e-05-9e-05]",0.74
"Battambang",2007,8,"lm",0.48,8.3e-05,"[7.8e-05-8.9e-05]",0.74
"Battambang",2007,9,"lm",0.48,0.00019,"[0.00018-2e-04]",0.74
"Battambang",2007,10,"lm",0.48,6.5e-05,"[6e-05-7e-05]",0.74
"Battambang",2007,11,"lm",0.48,0.00017,"[0.00016-0.00018]",0.74
"Battambang",2007,12,"lm",0.48,0.00014,"[0.00013-0.00015]",0.74
"Battambang",2007,13,"lm",0.48,0.00013,"[0.00012-0.00014]",0.74
"Battambang",2007,14,"lm",0.48,0.00013,"[0.00012-0.00014]",0.74
"Battambang",2007,15,"lm",0.48,0.00012,"[0.00011-0.00013]",0.74
"Battambang",2007,16,"lm",0.48,0.00012,"[0.00011-0.00013]",0.74
"Battambang",2007,17,"lm",0.48,0.00011,"[1e-04-0.00012]",0.74
"Battambang",2007,18,"lm",0.48,0.00012,"[0.00011-0.00013]",0.74
"Battambang",2007,19,"lm",0.48,0.00011,"[1e-04-0.00011]",0.74
"Battambang",2007,20,"lm",0.48,9.5e-05,"[8.8e-05-1e-04]",0.74
"Battambang",2007,21,"lm",0.48,6e-05,"[5.5e-05-6.4e-05]",0.74
