"epidemic_year","frac_incS_noclim","frac_incS_clim","provname"
2007,1.77,1.89,"Banteay_Meanchey"
2007,1.76,1.75,"Battambang"
2007,2.13,2.27,"Kampong_Cham"
2007,1.66,2.12,"Kampong_Chhnang"
2007,2.88,2.84,"Kampong_Speu"
2007,2.37,2.45,"Kampong_Thom"
2007,3,3,"Kampot"
2007,1.98,2.25,"Kandal"
2007,1.83,1.68,"Kep"
2007,2.18,2.23,"Koh_Kong"
2007,1.24,1.2,"Kratie"
2007,2.98,1.29,"Otdar_Meanchey"
2007,1.16,1.18,"Pailin"
2007,1.1,1.02,"Phnom_Penh"
2007,3,2.99,"Preah_Sihanouk"
2007,1.58,1.44,"Preah_Vihear"
2007,1.77,1.88,"Prey_Veng"
2007,1,1,"Pursat"
2007,3,3,"Siem_Reap"
2007,1,1,"Stung_Treng"
2007,3,2.99,"Svay_Rieng"
2007,1.72,2.02,"Takeo"
2012,3,3,"Banteay_Meanchey"
2012,2.37,2.67,"Battambang"
2012,2.68,2.89,"Kampong_Cham"
2012,1.34,1.34,"Kampong_Chhnang"
2012,1.79,1.95,"Kampong_Speu"
2012,1.52,1.28,"Kampong_Thom"
2012,2.98,2.94,"Kampot"
2012,1.82,1.7,"Kandal"
2012,1.02,1,"Kep"
2012,2.98,2.99,"Koh_Kong"
2012,1,1,"Kratie"
2012,2.98,2.7,"Otdar_Meanchey"
2012,2.99,2.96,"Pailin"
2012,1.39,1.42,"Phnom_Penh"
2012,2.88,2.61,"Preah_Sihanouk"
2012,3,3,"Preah_Vihear"
2012,1.29,1.34,"Prey_Veng"
2012,1,1,"Pursat"
2012,2.97,2.99,"Siem_Reap"
2012,1,1.01,"Stung_Treng"
2012,2.53,2.99,"Svay_Rieng"
2012,1.46,1.63,"Takeo"
2019,2.87,2.99,"Banteay_Meanchey"
2019,3,3,"Battambang"
2019,1.18,1.23,"Kampong_Cham"
2019,1.73,1.53,"Kampong_Chhnang"
2019,1.84,1.82,"Kampong_Speu"
2019,2.18,2.24,"Kampong_Thom"
2019,1.89,1.87,"Kampot"
2019,2.16,1.94,"Kandal"
2019,3,3,"Kep"
2019,2.01,1.82,"Koh_Kong"
2019,3,3,"Kratie"
2019,2.03,1.59,"Otdar_Meanchey"
2019,2.99,2.99,"Pailin"
2019,1.84,1.74,"Phnom_Penh"
2019,3,3,"Preah_Sihanouk"
2019,2.51,2.98,"Preah_Vihear"
2019,1.94,1.78,"Prey_Veng"
2019,1.65,1.66,"Pursat"
2019,1.37,1.29,"Siem_Reap"
2019,2.98,3,"Stung_Treng"
2019,3,3,"Svay_Rieng"
2019,2.33,1.87,"Takeo"
