"provname","year","biweek","time","cases","births","pop","precip_mm","temp_C"
"Banteay Meanchey",2002,1,2002,2,646.907645745235,627760.9371618,0.0078104012831,24.3822546428572
"Banteay Meanchey",2002,2,2002.03846153846,2,647.03293551863,628213.995344026,0.6002245326878,27.3362393071429
"Banteay Meanchey",2002,3,2002.07692307692,2,647.158225292025,628667.053526253,2.0226268730423,27.4461387142857
"Banteay Meanchey",2002,4,2002.11538461538,2,647.28351506542,629120.111708479,1.367358276214,28.6580001642857
"Banteay Meanchey",2002,5,2002.15384615385,16,647.408804838815,629573.169890705,25.3787216287554,28.2076475
"Banteay Meanchey",2002,6,2002.19230769231,25,647.534094612211,630026.228072932,12.5265375861498,30.5423274285715
"Banteay Meanchey",2002,7,2002.23076923077,24,647.659384385606,630479.286255158,16.3505209617,30.9545135285715
"Banteay Meanchey",2002,8,2002.26923076923,2,647.784674159001,630932.344437385,33.6622,29.9437101785715
"Banteay Meanchey",2002,9,2002.30769230769,37,647.909963932396,631385.402619611,59.8955,29.5174129571429
"Banteay Meanchey",2002,10,2002.34615384615,67,648.035253705791,631838.460801837,114.112,28.1454856928572
"Banteay Meanchey",2002,11,2002.38461538462,65,648.160543479186,632291.518984064,69.9305,28.7107638285714
"Banteay Meanchey",2002,12,2002.42307692308,43,648.285833252581,632744.57716629,37.4251,29.1757264428572
"Banteay Meanchey",2002,13,2002.46153846154,132,648.411123025976,633197.635348516,78.007,28.2662717928571
"Banteay Meanchey",2002,14,2002.5,119,648.536412799372,633650.693530743,53.915,28.8497108142857
"Banteay Meanchey",2002,15,2002.53846153846,105,648.661702572767,634103.751712969,60.3624,28.3680230142858
"Banteay Meanchey",2002,16,2002.57692307692,105,648.786992346162,634556.809895196,70.0945,27.9065549714286
"Banteay Meanchey",2002,17,2002.61538461538,59,648.912282119557,635009.868077422,113.9641,26.8491930642857
"Banteay Meanchey",2002,18,2002.65384615385,73,649.037571892952,635462.926259648,125.7116,27.4230363214286
"Banteay Meanchey",2002,19,2002.69230769231,54,649.162861666347,635915.984441875,192.4193,26.8481177071429
"Banteay Meanchey",2002,20,2002.73076923077,60,649.288151439742,636369.042624101,84.614,27.81774955
"Banteay Meanchey",2002,21,2002.76923076923,42,649.413441213137,636822.100806327,15.0764474474331,27.5421394285714
"Banteay Meanchey",2002,22,2002.80769230769,21,649.538730986533,637275.158988554,76.9159690559,27.1151966
"Banteay Meanchey",2002,23,2002.84615384615,18,649.664020759928,637728.21717078,23.86202992953,27.1526943785715
"Banteay Meanchey",2002,24,2002.88461538462,10,649.789310533323,638181.275353006,16.3121,27.3448946642857
"Banteay Meanchey",2002,25,2002.92307692308,10,649.914600306718,638634.333535233,12.848007145391,27.6795767857143
"Banteay Meanchey",2002,26,2002.96153846154,3,650.039890080113,639087.391717459,3.3807404455,27.93685544
"Banteay Meanchey",2003,1,2003,14,650.165179853508,639539.027655765,0.0133261241881,24.8333033571429
"Banteay Meanchey",2003,2,2003.03846153846,14,650.290469626903,639965.063203502,0.1501212822671,26.0001511714286
"Banteay Meanchey",2003,3,2003.07692307692,10,650.478918112648,640391.098751239,0.0602096277232,26.4360433285715
"Banteay Meanchey",2003,4,2003.11538461538,4,650.70755850625,640817.134298976,25.6578,28.9443140642857
"Banteay Meanchey",2003,5,2003.15384615385,9,650.936198899853,641243.169846714,39.1031,29.0050521142857
"Banteay Meanchey",2003,6,2003.19230769231,12,651.164839293456,641669.205394451,26.0253188945,29.1295501714286
"Banteay Meanchey",2003,7,2003.23076923077,19,651.393479687059,642095.240942188,38.2745,29.8048585214286
"Banteay Meanchey",2003,8,2003.26923076923,41,651.622120080662,642521.276489925,35.38110031567,30.98671275
"Banteay Meanchey",2003,9,2003.30769230769,19,651.850760474265,642947.312037662,53.2356,29.50400545
"Banteay Meanchey",2003,10,2003.34615384615,42,652.079400867868,643373.347585399,84.3502,29.3328259571429
"Banteay Meanchey",2003,11,2003.38461538462,76,652.308041261471,643799.383133136,102.1768,28.9550777714286
"Banteay Meanchey",2003,12,2003.42307692308,107,652.536681655073,644225.418680873,40.8959,29.5287009285714
"Banteay Meanchey",2003,13,2003.46153846154,114,652.765322048676,644651.45422861,51.8224,28.1037682857143
"Banteay Meanchey",2003,14,2003.5,143,652.993962442279,645077.489776348,81.9897,28.3274035
"Banteay Meanchey",2003,15,2003.53846153846,144,653.222602835882,645503.525324085,87.0086,28.4179887785714
"Banteay Meanchey",2003,16,2003.57692307692,108,653.451243229485,645929.560871822,70.8482,28.49143505
"Banteay Meanchey",2003,17,2003.61538461538,79,653.679883623088,646355.596419559,63.9284,27.8282079285714
"Banteay Meanchey",2003,18,2003.65384615385,52,653.908524016691,646781.631967296,76.7496,27.9206501142858
"Banteay Meanchey",2003,19,2003.69230769231,46,654.137164410294,647207.667515033,139.3921,27.1862613928571
"Banteay Meanchey",2003,20,2003.73076923077,45,654.365804803897,647633.70306277,95.4804,27.7515165928572
