Accession,Serotype,Collection_Date,Year,Country
EU179860,DENV-1,7/31/05,2005,Brunei
EU179861,DENV-1,7/31/06,2006,Brunei
GQ868637,DENV-1,7/31/00,2000,Cambodia
FJ639669,DENV-1,7/31/00,2000,Cambodia
KF955406,DENV-1,7/31/01,2001,Cambodia
JN819423,DENV-1,7/31/01,2001,Cambodia
FJ639670,DENV-1,7/31/01,2001,Cambodia
FJ639671,DENV-1,7/31/01,2001,Cambodia
FJ639672,DENV-1,7/31/01,2001,Cambodia
FJ639673,DENV-1,7/31/01,2001,Cambodia
FJ639674,DENV-1,7/31/02,2002,Cambodia
OR389008,DENV-1,7/31/03,2003,Cambodia
GQ868618,DENV-1,7/31/03,2003,Cambodia
GQ868619,DENV-1,7/31/03,2003,Cambodia
FJ850069,DENV-1,7/31/03,2003,Cambodia
FJ639675,DENV-1,7/31/03,2003,Cambodia
FJ639676,DENV-1,7/31/03,2003,Cambodia
FJ639677,DENV-1,7/31/03,2003,Cambodia
FJ639678,DENV-1,7/31/03,2003,Cambodia
FJ639679,DENV-1,7/31/03,2003,Cambodia
FJ639680,DENV-1,7/31/03,2003,Cambodia
FJ639681,DENV-1,7/31/03,2003,Cambodia
JQ287664,DENV-1,7/31/04,2004,Cambodia
FJ639682,DENV-1,7/31/04,2004,Cambodia
GU131923,DENV-1,7/31/05,2005,Cambodia
FJ639683,DENV-1,7/31/05,2005,Cambodia
FJ639684,DENV-1,7/31/05,2005,Cambodia
FJ639685,DENV-1,7/31/05,2005,Cambodia
HM631852,DENV-1,7/31/06,2006,Cambodia
HM181936,DENV-1,7/31/06,2006,Cambodia
HM181937,DENV-1,7/31/06,2006,Cambodia
HM181938,DENV-1,7/31/06,2006,Cambodia
HM181939,DENV-1,7/31/06,2006,Cambodia
HM181940,DENV-1,7/31/06,2006,Cambodia
HM181941,DENV-1,7/31/06,2006,Cambodia
HM181942,DENV-1,7/31/06,2006,Cambodia
GU131887,DENV-1,7/31/06,2006,Cambodia
GU131888,DENV-1,7/31/06,2006,Cambodia
GU131889,DENV-1,7/31/06,2006,Cambodia
GU131890,DENV-1,7/31/06,2006,Cambodia
GU131891,DENV-1,7/31/06,2006,Cambodia
GU131892,DENV-1,7/31/06,2006,Cambodia
GU131925,DENV-1,7/31/06,2006,Cambodia
GU131926,DENV-1,7/31/06,2006,Cambodia
GQ868630,DENV-1,7/31/06,2006,Cambodia
GQ868639,DENV-1,7/31/06,2006,Cambodia
FJ744702,DENV-1,7/31/06,2006,Cambodia
FJ639686,DENV-1,7/31/06,2006,Cambodia
FJ639687,DENV-1,7/31/06,2006,Cambodia
KF955444,DENV-1,7/31/07,2007,Cambodia
KF921932,DENV-1,7/31/07,2007,Cambodia
KF921933,DENV-1,7/31/07,2007,Cambodia
JQ287665,DENV-1,7/31/07,2007,Cambodia
HQ624983,DENV-1,7/31/07,2007,Cambodia
HQ624984,DENV-1,7/31/07,2007,Cambodia
HM488255,DENV-1,7/31/07,2007,Cambodia
HM631853,DENV-1,7/31/07,2007,Cambodia
HM181943,DENV-1,7/31/07,2007,Cambodia
HM181944,DENV-1,7/31/07,2007,Cambodia
HM181945,DENV-1,7/31/07,2007,Cambodia
HM181946,DENV-1,7/31/07,2007,Cambodia
HM181947,DENV-1,7/31/07,2007,Cambodia
HM181948,DENV-1,7/31/07,2007,Cambodia
HM181949,DENV-1,7/31/07,2007,Cambodia
HM181950,DENV-1,7/31/07,2007,Cambodia
HM181951,DENV-1,7/31/07,2007,Cambodia
HM181952,DENV-1,7/31/07,2007,Cambodia
HM181953,DENV-1,7/31/07,2007,Cambodia
HM181954,DENV-1,7/31/07,2007,Cambodia
HM181955,DENV-1,7/31/07,2007,Cambodia
HM181956,DENV-1,7/31/07,2007,Cambodia
HM181957,DENV-1,7/31/07,2007,Cambodia
HM181958,DENV-1,7/31/07,2007,Cambodia
HM181959,DENV-1,7/31/07,2007,Cambodia
GU131893,DENV-1,7/31/07,2007,Cambodia
FJ639688,DENV-1,7/31/07,2007,Cambodia
FJ639689,DENV-1,7/31/07,2007,Cambodia
FJ639690,DENV-1,7/31/07,2007,Cambodia
FJ639691,DENV-1,7/31/07,2007,Cambodia
FJ639692,DENV-1,7/31/07,2007,Cambodia
FJ639693,DENV-1,7/31/07,2007,Cambodia
FJ639694,DENV-1,7/31/07,2007,Cambodia
FJ639695,DENV-1,7/31/07,2007,Cambodia
FJ639696,DENV-1,7/31/07,2007,Cambodia
KU509260,DENV-1,7/31/08,2008,Cambodia
JF937651,DENV-1,7/31/08,2008,Cambodia
GU131894,DENV-1,7/31/08,2008,Cambodia
GU131919,DENV-1,7/31/08,2008,Cambodia
GU131920,DENV-1,7/31/08,2008,Cambodia
GU131921,DENV-1,7/31/08,2008,Cambodia
GU131922,DENV-1,7/31/08,2008,Cambodia
GQ868632,DENV-1,7/31/08,2008,Cambodia
GQ868633,DENV-1,7/31/08,2008,Cambodia
GQ868635,DENV-1,7/31/08,2008,Cambodia
GQ868636,DENV-1,7/31/08,2008,Cambodia
GU131895,DENV-1,7/31/09,2009,Cambodia
MW265668,DENV-1,5/23/11,2011,Cambodia
MW265669,DENV-1,2/6/11,2011,Cambodia
MW265671,DENV-1,4/29/12,2012,Cambodia
MW265670,DENV-1,1/19/12,2012,Cambodia
MW265672,DENV-1,1/28/13,2013,Cambodia
MW265676,DENV-1,11/25/14,2014,Cambodia
MW265675,DENV-1,8/7/14,2014,Cambodia
MW265674,DENV-1,6/25/14,2014,Cambodia
MW265673,DENV-1,5/22/14,2014,Cambodia
MW265679,DENV-1,10/6/15,2015,Cambodia
MW265678,DENV-1,9/28/15,2015,Cambodia
MW265677,DENV-1,6/19/15,2015,Cambodia
MW265666,DENV-1,8/22/16,2016,Cambodia
MW265665,DENV-1,8/7/16,2016,Cambodia
MW265664,DENV-1,4/6/16,2016,Cambodia
MW265667,DENV-1,2/9/16,2016,Cambodia
OM281569,DENV-1,12/15/18,2018,Cambodia
OM281574,DENV-1,12/15/18,2018,Cambodia
OQ678244,DENV-1,8/21/18,2018,Cambodia
OQ678099,DENV-1,12/26/19,2019,Cambodia
OQ678252,DENV-1,12/20/19,2019,Cambodia
OQ678061,DENV-1,12/17/19,2019,Cambodia
